shape,weight,area,OD,tnom,tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS3_500X0_203,7.15,1.97,3.5,0.203,0.189,2.7,2.07,1.54,1.17,2.7,2.07,1.54,1.17,5.41,3.09
HSS3_500X0_188,6.66,1.82,3.5,0.188,0.174,2.52,1.93,1.44,1.18,2.52,1.93,1.44,1.18,5.04,2.88
HSS3_500X0_125,4.51,1.23,3.5,0.125,0.116,1.77,1.33,1.01,1.2,1.77,1.33,1.01,1.2,3.53,2.02
HSS3_000X0_250,7.35,2.03,3.0,0.25,0.233,1.95,1.79,1.3,0.982,1.95,1.79,1.3,0.982,3.9,2.6
HSS3_000X0_216,6.43,1.77,3.0,0.216,0.201,1.74,1.58,1.16,0.992,1.74,1.58,1.16,0.992,3.48,2.32
HSS3_000X0_203,6.07,1.67,3.0,0.203,0.189,1.66,1.5,1.1,0.996,1.66,1.5,1.1,0.996,3.31,2.21
HSS3_000X0_188,5.65,1.54,3.0,0.188,0.174,1.55,1.39,1.03,1.0,1.55,1.39,1.03,1.0,3.1,2.06
HSS3_000X0_152,4.63,1.27,3.0,0.152,0.141,1.3,1.15,0.865,1.01,1.3,1.15,0.865,1.01,2.59,1.73
HSS3_000X0_134,4.11,1.12,3.0,0.134,0.124,1.16,1.03,0.774,1.02,1.16,1.03,0.774,1.02,2.32,1.55
HSS3_000X0_125,3.84,1.05,3.0,0.125,0.116,1.09,0.965,0.73,1.02,1.09,0.965,0.73,1.02,2.19,1.46
HSS2_875X0_250,7.02,1.93,2.88,0.25,0.233,1.7,1.63,1.18,0.938,1.7,1.63,1.18,0.938,3.4,2.37
HSS2_875X0_203,5.8,1.59,2.88,0.203,0.189,1.45,1.37,1.01,0.952,1.45,1.37,1.01,0.952,2.89,2.01
HSS2_875X0_188,5.4,1.48,2.88,0.188,0.174,1.35,1.27,0.941,0.957,1.35,1.27,0.941,0.957,2.7,1.88
HSS2_875X0_125,3.67,1.01,2.88,0.125,0.116,0.958,0.884,0.667,0.976,0.958,0.884,0.667,0.976,1.92,1.33
HSS2_500X0_250,6.01,1.66,2.5,0.25,0.233,1.08,1.2,0.862,0.806,1.08,1.2,0.862,0.806,2.15,1.72
HSS2_500X0_188,4.65,1.27,2.5,0.188,0.174,0.865,0.943,0.692,0.825,0.865,0.943,0.692,0.825,1.73,1.38
HSS2_500X0_125,3.17,0.869,2.5,0.125,0.116,0.619,0.66,0.495,0.844,0.619,0.66,0.495,0.844,1.24,0.99
HSS2_375X0_250,5.68,1.57,2.38,0.25,0.233,0.91,1.07,0.766,0.762,0.91,1.07,0.766,0.762,1.82,1.53
HSS2_375X0_218,5.03,1.39,2.38,0.218,0.203,0.824,0.96,0.694,0.771,0.824,0.96,0.694,0.771,1.65,1.39
HSS2_375X0_188,4.4,1.2,2.38,0.188,0.174,0.733,0.845,0.617,0.781,0.733,0.845,0.617,0.781,1.47,1.23
HSS2_375X0_154,3.66,1.0,2.38,0.154,0.143,0.627,0.713,0.528,0.791,0.627,0.713,0.528,0.791,1.25,1.06
HSS2_375X0_125,3.01,0.823,2.38,0.125,0.116,0.527,0.592,0.443,0.8,0.527,0.592,0.443,0.8,1.05,0.887
HSS1_900X0_188,3.44,0.943,1.9,0.188,0.174,0.355,0.52,0.374,0.613,0.355,0.52,0.374,0.613,0.71,0.747
HSS1_900X0_145,2.72,0.749,1.9,0.145,0.135,0.293,0.421,0.309,0.626,0.293,0.421,0.309,0.626,0.586,0.617
HSS1_900X0_120,2.28,0.624,1.9,0.12,0.111,0.251,0.356,0.264,0.634,0.251,0.356,0.264,0.634,0.501,0.527
HSS1_660X0_140,2.27,0.625,1.66,0.14,0.13,0.184,0.305,0.222,0.543,0.184,0.305,0.222,0.543,0.368,0.444
