shape,weight,area,d,b,t,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,ro,H
DBL_L2X2X1_8X3_4,3.3,0.982,2.0,2.0,0.125,0.534,0.123,0.378,0.46,0.258,0.62,1.19,0.893,0.501,1.1,1.35,0.877
DBL_L8X6X1LLBB,88.4,26.2,8.0,6.0,1.0,2.65,1.45,162.0,54.6,30.2,2.49,150.0,43.2,25.0,2.39,4.06,0.721
DBL_L8X6X1X3_8LLBB,88.4,26.2,8.0,6.0,1.0,2.65,1.45,162.0,54.6,30.2,2.49,166.0,48.1,26.8,2.52,4.14,0.732
DBL_L8X6X1X3_4LLBB,88.4,26.2,8.0,6.0,1.0,2.65,1.45,162.0,54.6,30.2,2.49,185.0,53.1,29.0,2.66,4.23,0.742
DBL_L8X6X7_8LLBB,78.2,23.0,8.0,6.0,0.875,2.6,1.43,145.0,48.6,26.8,2.5,129.0,36.8,21.5,2.37,4.07,0.718
DBL_L8X6X7_8X3_8LLBB,78.2,23.0,8.0,6.0,0.875,2.6,1.43,145.0,48.6,26.8,2.5,144.0,41.1,23.3,2.5,4.14,0.728
DBL_L8X6X7_8X3_4LLBB,78.2,23.0,8.0,6.0,0.875,2.6,1.43,145.0,48.6,26.8,2.5,159.0,45.4,24.9,2.63,4.23,0.739
DBL_L8X6X3_4LLBB,67.6,20.0,8.0,6.0,0.75,2.55,1.34,127.0,42.2,23.4,2.52,110.0,31.2,18.3,2.35,4.07,0.714
DBL_L8X6X3_4X3_8LLBB,67.6,20.0,8.0,6.0,0.75,2.55,1.34,127.0,42.2,23.4,2.52,122.0,34.9,19.7,2.47,4.15,0.725
DBL_L8X6X3_4X3_4LLBB,67.6,20.0,8.0,6.0,0.75,2.55,1.34,127.0,42.2,23.4,2.52,136.0,38.7,21.3,2.61,4.23,0.735
DBL_L8X6X5_8LLBB,57.0,16.8,8.0,6.0,0.625,2.5,1.27,108.0,35.8,19.7,2.54,91.2,25.4,15.2,2.33,4.08,0.712
DBL_L8X6X5_8X3_8LLBB,57.0,16.8,8.0,6.0,0.625,2.5,1.27,108.0,35.8,19.7,2.54,101.0,28.6,16.3,2.45,4.16,0.722
DBL_L8X6X5_8X3_4LLBB,57.0,16.8,8.0,6.0,0.625,2.5,1.27,108.0,35.8,19.7,2.54,113.0,31.7,17.7,2.59,4.24,0.732
DBL_L8X6X9_16LLBB,51.4,15.2,8.0,6.0,0.563,2.48,1.24,98.8,32.4,17.9,2.55,81.8,22.7,13.6,2.32,4.09,0.71
DBL_L8X6X9_16X3_8LLBB,51.4,15.2,8.0,6.0,0.563,2.48,1.24,98.8,32.4,17.9,2.55,90.5,25.5,14.6,2.44,4.16,0.72
