shape,weight,area,d,bf,tw,tf,k,k1,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W36X487,487.0,143.0,39.3,17.1,1.5,2.68,3.63,1.875,36000.0,2130.0,1830.0,15.8,2250.0,412.0,263.0,3.96,258.0,754000.0,157.0,1800.0,383.0,1060.0,4.74,36.6,125.0,142.0,95.7,113.0,31.375,7.5,3
W36X441,441.0,130.0,38.9,17.0,1.36,2.44,3.39,1.875,32100.0,1910.0,1650.0,15.7,1990.0,368.0,235.0,3.92,194.0,661000.0,154.0,1600.0,347.0,950.0,4.69,36.5,124.0,141.0,94.8,112.0,31.375,7.5,3
W36X395,395.0,116.0,38.4,16.8,1.22,2.2,3.15,1.8125,28500.0,1710.0,1490.0,15.7,1750.0,325.0,208.0,3.88,142.0,575000.0,152.0,1410.0,311.0,847.0,4.61,36.2,123.0,140.0,93.6,110.0,31.375,7.5,3
W36X361,361.0,106.0,38.0,16.7,1.12,2.01,2.96,1.75,25700.0,1550.0,1350.0,15.6,1570.0,293.0,188.0,3.85,109.0,509000.0,150.0,1270.0,282.0,767.0,4.58,36.0,122.0,139.0,92.7,109.0,31.375,7.5,3
W36X330,330.0,96.9,37.7,16.6,1.02,1.85,2.8,1.75,23300.0,1410.0,1240.0,15.5,1420.0,265.0,171.0,3.83,84.3,456000.0,149.0,1150.0,259.0,698.0,4.53,35.9,121.0,138.0,92.0,109.0,31.375,7.5,3
W36X302,302.0,89.0,37.3,16.7,0.945,1.68,2.63,1.6875,21100.0,1280.0,1130.0,15.4,1300.0,241.0,156.0,3.82,64.3,412000.0,148.0,1040.0,235.0,635.0,4.53,35.6,121.0,138.0,91.3,108.0,31.375,7.5,3
W36X282,282.0,82.9,37.1,16.6,0.885,1.57,2.52,1.625,19600.0,1190.0,1050.0,15.4,1200.0,223.0,144.0,3.8,52.7,378000.0,147.0,960.0,219.0,591.0,4.5,35.5,120.0,137.0,90.8,107.0,31.375,7.5,3
W36X262,262.0,77.2,36.9,16.6,0.84,1.44,2.39,1.625,17900.0,1100.0,972.0,15.3,1090.0,204.0,132.0,3.76,41.6,342000.0,147.0,873.0,200.0,543.0,4.46,35.5,120.0,137.0,90.4,107.0,31.375,7.5,3
W36X247,247.0,72.5,36.7,16.5,0.8,1.35,2.3,1.625,16700.0,1030.0,913.0,15.2,1010.0,190.0,123.0,3.74,34.7,316000.0,146.0,812.0,187.0,509.0,4.42,35.4,120.0,136.0,89.9,106.0,31.375,7.5,3
W36X231,231.0,68.2,36.5,16.5,0.76,1.26,2.21,1.5625,15600.0,963.0,854.0,15.1,940.0,176.0,114.0,3.71,28.7,292000.0,145.0,756.0,175.0,476.0,4.4,35.2,120.0,136.0,89.5,106.0,31.375,7.5,3
W36X387,387.0,114.0,39.1,12.7,1.42,2.56,3.31,1.9375,26500.0,1610.0,1360.0,15.2,882.0,224.0,139.0,2.78,172.0,294000.0,116.0,943.0,264.0,799.0,3.44,36.5,112.0,125.0,90.9,104.0,31.5,5.5,–
W36X350,350.0,103.0,38.6,12.6,1.3,2.32,3.07,1.875,23600.0,1440.0,1220.0,15.1,780.0,199.0,124.0,2.75,129.0,257000.0,114.0,835.0,238.0,718.0,3.41,36.3,111.0,124.0,89.8,102.0,31.5,5.5,–
W36X318,318.0,93.4,38.2,12.4,1.18,2.13,2.88,1.8125,21200.0,1300.0,1110.0,15.1,682.0,176.0,110.0,2.7,98.3,222000.0,112.0,738.0,216.0,646.0,3.33,36.1,110.0,122.0,88.8,101.0,31.5,5.5,–
W36X286,286.0,83.9,37.8,12.3,1.06,1.93,2.68,1.75,18900.0,1160.0,1000.0,15.0,602.0,156.0,97.9,2.68,72.8,194000.0,110.0,655.0,195.0,578.0,3.29,35.9,109.0,121.0,87.9,100.0,31.5,5.5,–
W36X256,256.0,75.3,37.4,12.2,0.96,1.73,2.48,1.6875,16800.0,1040.0,895.0,14.9,528.0,137.0,86.5,2.65,52.9,168000.0,109.0,576.0,174.0,516.0,3.24,35.7,108.0,120.0,87.0,99.2,31.5,5.5,–
W36X232,232.0,68.0,37.1,12.1,0.87,1.57,2.32,1.625,15000.0,936.0,809.0,14.8,468.0,122.0,77.2,2.62,39.6,148000.0,108.0,512.0,157.0,464.0,3.21,35.5,108.0,120.0,86.3,98.4,31.5,5.5,–
W36X210,210.0,61.9,36.7,12.2,0.83,1.36,2.11,1.625,13200.0,833.0,719.0,14.6,411.0,107.0,67.5,2.58,28.0,128000.0,108.0,446.0,136.0,412.0,3.18,35.3,107.0,119.0,85.6,97.8,31.5,5.5,–
W36X194,194.0,57.0,36.5,12.1,0.765,1.26,2.01,1.5625,12100.0,767.0,664.0,14.6,375.0,97.7,61.9,2.56,22.2,116000.0,107.0,407.0,126.0,379.0,3.15,35.2,107.0,119.0,85.1,97.2,31.5,5.5,–
W36X182,182.0,53.6,36.3,12.1,0.725,1.18,1.93,1.5625,11300.0,718.0,623.0,14.5,347.0,90.7,57.6,2.55,18.5,107000.0,106.0,378.0,118.0,355.0,3.13,35.1,106.0,118.0,84.7,96.8,31.5,5.5,–
W36X170,170.0,50.0,36.2,12.0,0.68,1.1,1.85,1.5625,10500.0,668.0,581.0,14.5,320.0,83.8,53.2,2.53,15.1,98500.0,105.0,349.0,109.0,330.0,3.11,35.1,106.0,118.0,84.4,96.4,31.5,5.5,–
W36X160,160.0,47.0,36.0,12.0,0.65,1.02,1.77,1.5625,9760.0,624.0,542.0,14.4,295.0,77.3,49.1,2.5,12.4,90200.0,105.0,321.0,101.0,308.0,3.09,35.0,105.0,117.0,84.0,96.0,31.5,5.5,–
W36X150,150.0,44.3,35.9,12.0,0.625,0.94,1.69,1.5,9040.0,581.0,504.0,14.3,270.0,70.9,45.1,2.47,10.1,82200.0,105.0,294.0,93.1,287.0,3.06,35.0,105.0,117.0,83.8,95.8,31.5,5.5,–
W36X135,135.0,39.9,35.6,12.0,0.6,0.79,1.54,1.5,7800.0,509.0,439.0,14.0,225.0,59.7,37.7,2.38,7.0,68100.0,104.0,245.0,77.9,251.0,2.99,34.8,105.0,117.0,83.2,95.2,31.5,5.5,–
W33X387,387.0,114.0,36.0,16.2,1.26,2.28,3.07,1.8125,24300.0,1560.0,1350.0,14.6,1620.0,312.0,200.0,3.77,148.0,459000.0,137.0,1260.0,287.0,778.0,4.49,33.7,117.0,133.0,88.2,104.0,28.875,5.5,3
W33X354,354.0,104.0,35.6,16.1,1.16,2.09,2.88,1.8125,22000.0,1420.0,1240.0,14.5,1460.0,282.0,181.0,3.74,115.0,408000.0,135.0,1130.0,262.0,707.0,4.44,33.5,116.0,132.0,87.3,103.0,28.875,5.5,3
W33X318,318.0,93.7,35.2,16.0,1.04,1.89,2.68,1.75,19500.0,1270.0,1110.0,14.5,1290.0,250.0,161.0,3.71,84.4,357000.0,133.0,1010.0,235.0,632.0,4.4,33.3,115.0,131.0,86.4,102.0,28.875,5.5,3
W33X291,291.0,85.6,34.8,15.9,0.96,1.73,2.52,1.6875,17700.0,1160.0,1020.0,14.4,1160.0,226.0,146.0,3.68,65.1,319000.0,131.0,904.0,214.0,573.0,4.34,33.1,114.0,130.0,85.5,101.0,28.875,5.5,3
W33X263,263.0,77.4,34.5,15.8,0.87,1.57,2.36,1.625,15900.0,1040.0,919.0,14.3,1040.0,202.0,131.0,3.66,48.7,281000.0,130.0,807.0,193.0,515.0,4.31,32.9,113.0,129.0,84.8,101.0,28.875,5.5,3
W33X241,241.0,71.1,34.2,15.9,0.83,1.4,2.19,1.625,14200.0,940.0,831.0,14.1,933.0,182.0,118.0,3.62,36.2,251000.0,130.0,726.0,173.0,467.0,4.29,32.8,113.0,129.0,84.3,100.0,28.875,5.5,3
W33X221,221.0,65.3,33.9,15.8,0.775,1.28,2.06,1.625,12900.0,857.0,759.0,14.1,840.0,164.0,106.0,3.59,27.8,224000.0,129.0,647.0,156.0,423.0,4.25,32.6,112.0,128.0,83.6,99.4,28.875,5.5,3
W33X201,201.0,59.1,33.7,15.7,0.715,1.15,1.94,1.5625,11600.0,773.0,686.0,14.0,749.0,147.0,95.2,3.56,20.8,198000.0,128.0,577.0,140.0,382.0,4.21,32.6,111.0,127.0,83.1,98.8,28.875,5.5,3
W33X169,169.0,49.5,33.8,11.5,0.67,1.22,1.92,1.5625,9290.0,629.0,549.0,13.7,310.0,84.4,53.9,2.5,17.7,82400.0,93.7,329.0,108.0,311.0,3.03,32.6,99.5,111.0,79.1,90.6,28.875,5.5,–
