shape,weight,area,d,b,t,k,x,y,xp,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,Iz,rz,Sz,J,Cw,ro,H,tan_a,Iw,zA,zB,zC,wA,wB,wC,SwA,SwB,SwC,SzA,SzB,SzC,PA,PA2,PB
L3_1_2X3X3_8,7.9,2.32,3.0,3.5,0.375,0.75,0.823,1.07,0.331,0.407,2.73,2.03,1.12,1.09,1.84,1.52,0.847,0.892,0.894,0.622,0.693,0.114,0.0858,1.78,–,0.72,3.68,1.99,0.389,2.34,1.25,1.29,0.901,1.85,9.46,1.57,0.715,0.693,0.992,10.0,9.5,13
L3_1_2X3X5_16,6.6,1.95,3.0,3.5,0.313,0.688,0.798,1.05,0.279,0.38,2.33,1.72,0.951,1.09,1.58,1.28,0.718,0.9,0.758,0.624,0.602,0.068,0.0512,1.79,–,0.722,3.15,2.01,0.383,2.36,1.26,1.26,0.916,1.57,8.22,1.33,0.602,0.602,0.828,10.0,9.5,13
L3_1_2X3X1_4,5.4,1.58,3.0,3.5,0.25,0.625,0.773,1.02,0.226,0.34,1.92,1.39,0.773,1.1,1.3,1.04,0.585,0.908,0.622,0.628,0.486,0.036,0.027,1.8,–,0.725,2.6,2.03,0.374,2.39,1.28,1.22,0.928,1.28,6.95,1.09,0.486,0.51,0.67,10.0,9.5,13
L3_1_2X2_1_2X1_2,9.4,2.77,2.5,3.5,0.5,0.875,0.701,1.2,0.396,0.73,3.24,2.52,1.41,1.08,1.36,1.39,0.756,0.701,0.781,0.532,0.651,0.234,0.159,1.66,–,0.485,3.82,1.64,0.774,2.27,1.2,1.15,0.598,2.33,4.94,1.68,0.651,0.679,1.31,9.5,8.5,12
L3_1_2X2_1_2X3_8,7.2,2.12,2.5,3.5,0.375,0.75,0.655,1.15,0.303,0.673,2.56,1.96,1.09,1.1,1.09,1.07,0.589,0.716,0.609,0.535,0.499,0.103,0.0714,1.69,–,0.495,3.04,1.68,0.739,2.31,1.22,1.1,0.626,1.81,4.11,1.32,0.499,0.554,0.973,9.5,8.5,12
L3_1_2X2_1_2X5_16,6.1,1.79,2.5,3.5,0.313,0.688,0.632,1.13,0.256,0.636,2.2,1.67,0.925,1.11,0.937,0.9,0.501,0.723,0.518,0.538,0.418,0.0611,0.0426,1.71,–,0.5,2.62,1.71,0.729,2.33,1.24,1.07,0.633,1.53,3.59,1.12,0.418,0.484,0.818,9.5,8.5,12
L3_1_2X2_1_2X1_4,4.9,1.45,2.5,3.5,0.25,0.625,0.607,1.1,0.207,0.6,1.81,1.36,0.753,1.12,0.775,0.728,0.41,0.731,0.426,0.541,0.341,0.0322,0.0225,1.72,–,0.504,2.16,1.72,0.71,2.36,1.25,1.04,0.647,1.26,3.04,0.915,0.341,0.41,0.658,9.5,8.5,12
L3X3X1_2,9.4,2.76,3.0,3.0,0.5,0.875,0.929,0.929,0.46,0.46,2.2,1.91,1.06,0.895,2.2,1.91,1.06,0.895,0.922,0.58,0.704,0.23,0.144,1.59,0.63,1.0,3.48,1.94,0.0,1.94,0.984,1.31,0.984,1.79,–,1.79,0.937,0.704,0.937,9.0,9.0,12
L3X3X7_16,8.3,2.43,3.0,3.0,0.438,0.813,0.907,0.907,0.405,0.405,1.98,1.7,0.946,0.903,1.98,1.7,0.946,0.903,0.817,0.58,0.638,0.157,0.1,1.6,0.63,1.0,3.14,1.97,0.0,1.97,0.993,1.28,0.993,1.59,–,1.59,0.823,0.638,0.823,9.0,9.0,12
L3X3X3_8,7.2,2.11,3.0,3.0,0.375,0.75,0.884,0.884,0.352,0.352,1.75,1.48,0.825,0.91,1.75,1.48,0.825,0.91,0.716,0.581,0.573,0.101,0.0652,1.62,0.63,1.0,2.79,1.99,0.0,1.99,1.0,1.25,1.0,1.4,–,1.4,0.716,0.573,0.716,9.0,9.0,12
L3X3X5_16,6.1,1.78,3.0,3.0,0.313,0.688,0.86,0.86,0.297,0.297,1.5,1.26,0.699,0.918,1.5,1.26,0.699,0.918,0.606,0.583,0.497,0.0597,0.039,1.64,0.63,1.0,2.4,2.01,0.0,2.01,1.02,1.22,1.02,1.19,–,1.19,0.594,0.497,0.594,9.0,9.0,12
L3X3X1_4,4.9,1.44,3.0,3.0,0.25,0.625,0.836,0.836,0.24,0.24,1.23,1.02,0.569,0.926,1.23,1.02,0.569,0.926,0.49,0.585,0.415,0.0313,0.0206,1.65,0.63,1.0,1.97,2.03,0.0,2.03,1.03,1.18,1.03,0.97,–,0.97,0.476,0.415,0.476,9.0,9.0,12
L3X3X3_16,3.71,1.09,3.0,3.0,0.188,0.563,0.812,0.812,0.182,0.182,0.948,0.774,0.433,0.933,0.948,0.774,0.433,0.933,0.373,0.586,0.324,0.0136,0.00899,1.67,0.63,1.0,1.52,2.05,0.0,2.05,1.04,1.15,1.04,0.741,–,0.741,0.359,0.324,0.359,9.0,9.0,12
L3X2_1_2X1_2,8.5,2.5,2.5,3.0,0.5,0.875,0.746,0.995,0.417,0.5,2.07,1.86,1.03,0.91,1.29,1.34,0.736,0.718,0.665,0.516,0.568,0.213,0.112,1.46,–,0.666,2.69,1.59,0.414,1.94,1.05,1.17,0.7,1.69,6.5,1.39,0.633,0.568,0.95,8.5,8.0,11
L3X2_1_2X7_16,7.6,2.22,2.5,3.0,0.438,0.813,0.724,0.972,0.37,0.463,1.87,1.66,0.921,0.917,1.17,1.19,0.656,0.724,0.594,0.516,0.521,0.146,0.0777,1.48,–,0.671,2.45,1.62,0.403,1.97,1.05,1.14,0.712,1.51,6.08,1.24,0.566,0.521,0.834,8.5,8.0,11
L3X2_1_2X3_8,6.6,1.93,2.5,3.0,0.375,0.75,0.701,0.949,0.322,0.427,1.65,1.45,0.803,0.924,1.03,1.03,0.573,0.731,0.514,0.517,0.463,0.0943,0.0507,1.49,–,0.675,2.17,1.64,0.395,1.99,1.07,1.11,0.72,1.32,5.49,1.09,0.48,0.463,0.714,8.5,8.0,11
L3X2_1_2X5_16,5.6,1.63,2.5,3.0,0.313,0.688,0.677,0.925,0.272,0.392,1.41,1.23,0.681,0.932,0.888,0.873,0.487,0.739,0.435,0.518,0.403,0.056,0.0304,1.51,–,0.679,1.86,1.66,0.383,2.01,1.07,1.08,0.739,1.12,4.86,0.925,0.407,0.403,0.589,8.5,8.0,11
L3X2_1_2X1_4,4.5,1.32,2.5,3.0,0.25,0.625,0.653,0.9,0.22,0.36,1.16,1.0,0.555,0.94,0.734,0.707,0.397,0.746,0.355,0.52,0.329,0.0296,0.0161,1.52,–,0.683,1.54,1.68,0.373,2.03,1.08,1.05,0.753,0.917,4.13,0.759,0.329,0.338,0.471,8.5,8.0,11
L3X2_1_2X3_16,3.39,1.0,2.5,3.0,0.188,0.563,0.627,0.874,0.167,0.333,0.899,0.761,0.423,0.947,0.568,0.536,0.303,0.753,0.271,0.521,0.246,0.013,0.00705,1.54,–,0.687,1.2,1.7,0.365,2.05,1.1,1.01,0.765,0.706,3.29,0.585,0.246,0.268,0.354,8.5,8.0,11
L3X2X1_2,7.7,2.26,2.0,3.0,0.5,0.813,0.58,1.08,0.377,0.74,1.92,1.78,1.0,0.922,0.667,0.887,0.47,0.543,0.409,0.425,0.411,0.192,0.0908,1.39,–,0.413,2.18,1.31,0.776,1.9,0.995,0.949,0.429,1.66,2.81,1.15,0.411,0.431,0.953,8.0,7.0,10
L3X2X3_8,5.9,1.75,2.0,3.0,0.375,0.688,0.535,1.03,0.292,0.667,1.54,1.39,0.779,0.937,0.539,0.679,0.368,0.555,0.319,0.426,0.313,0.0855,0.0413,1.42,–,0.426,1.76,1.35,0.739,1.95,1.02,0.895,0.45,1.3,2.38,0.903,0.313,0.356,0.709,8.0,7.0,10
L3X2X5_16,5.0,1.48,2.0,3.0,0.313,0.625,0.511,1.01,0.247,0.632,1.32,1.19,0.662,0.945,0.467,0.572,0.314,0.562,0.271,0.428,0.263,0.051,0.0248,1.43,–,0.432,1.52,1.37,0.724,1.97,1.03,0.87,0.465,1.11,2.1,0.772,0.263,0.311,0.583,8.0,7.0,10
