shape,weight,area,d,bf,tw,tf,k,y,yp,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,ro,H,PA,PB,PC,PD,WGi,WGo
WT5X24_5,24.5,7.21,4.99,10.0,0.34,0.56,1.06,0.807,0.361,10.0,4.52,2.39,1.18,46.7,14.1,9.34,2.54,0.693,1.33,2.85,0.966,19.5,29.5,20.0,30.0,5.5,–
WT5X22_5,22.5,6.63,5.05,8.02,0.35,0.62,1.12,0.907,0.413,10.2,4.65,2.47,1.24,26.7,10.1,6.65,2.01,0.753,0.981,2.43,0.94,17.6,25.6,18.1,26.1,5.5,–
WT5X19_5,19.5,5.73,4.96,7.99,0.315,0.53,1.03,0.876,0.359,8.84,3.99,2.16,1.24,22.5,8.57,5.64,1.98,0.487,0.616,2.42,0.936,17.4,25.4,17.9,25.9,5.5,–
WT5X16_5,16.5,4.85,4.87,7.96,0.29,0.435,0.935,0.869,0.305,7.71,3.48,1.93,1.26,18.3,7.0,4.6,1.94,0.291,0.356,2.4,0.927,17.2,25.1,17.7,25.7,5.5,–
WT5X15,15.0,4.42,5.24,5.81,0.3,0.51,0.81,1.1,0.38,9.28,4.01,2.24,1.45,8.35,4.41,2.87,1.37,0.31,0.273,2.17,0.849,15.9,21.7,16.3,22.1,2.75,–
WT5X13,13.0,3.81,5.17,5.77,0.26,0.44,0.74,1.06,0.33,7.86,3.39,1.91,1.44,7.05,3.75,2.44,1.36,0.201,0.173,2.15,0.848,15.7,21.5,16.1,21.9,2.75,–
WT5X11,11.0,3.24,5.09,5.75,0.24,0.36,0.66,1.07,0.282,6.88,3.02,1.72,1.46,5.71,3.05,1.99,1.33,0.119,0.107,2.16,0.83,15.5,21.3,15.9,21.7,2.75,–
WT5X9_5,9.5,2.81,5.12,4.02,0.25,0.395,0.695,1.28,0.349,6.68,3.1,1.74,1.54,2.15,1.67,1.07,0.874,0.116,0.0796,2.08,0.729,13.9,17.9,14.3,18.3,2.25,–
WT5X8_5,8.5,2.5,5.06,4.01,0.24,0.33,0.63,1.32,0.311,6.06,2.9,1.62,1.56,1.78,1.4,0.887,0.844,0.0776,0.061,2.11,0.703,13.8,17.8,14.1,18.1,2.25,–
WT5X7_5,7.5,2.21,5.0,4.0,0.23,0.27,0.57,1.37,0.305,5.45,2.71,1.5,1.57,1.45,1.15,0.723,0.81,0.0518,0.0475,2.16,0.672,13.6,17.6,14.0,18.0,2.25,–
WT5X6,6.0,1.77,4.94,3.96,0.19,0.21,0.51,1.36,0.322,4.35,2.2,1.22,1.57,1.09,0.869,0.551,0.785,0.0272,0.0255,2.16,0.661,13.5,17.4,13.8,17.8,2.25,–
WT4X33_5,33.5,9.84,4.5,8.28,0.57,0.935,1.33,0.936,0.594,10.9,6.29,3.05,1.05,44.3,16.3,10.7,2.12,2.51,3.56,2.41,0.962,16.8,25.0,17.3,25.6,5.5,–
WT4X29,29.0,8.54,4.38,8.22,0.51,0.81,1.2,0.874,0.52,9.12,5.25,2.61,1.03,37.5,13.9,9.13,2.1,1.66,2.28,2.38,0.961,16.5,24.7,17.0,25.2,5.5,–
WT4X24,24.0,7.05,4.25,8.11,0.4,0.685,1.08,0.777,0.435,6.85,3.94,1.97,0.986,30.5,11.4,7.51,2.08,0.977,1.3,2.34,0.966,16.1,24.2,16.6,24.7,5.5,–
WT4X20,20.0,5.87,4.13,8.07,0.36,0.56,0.954,0.735,0.364,5.73,3.25,1.69,0.988,24.5,9.24,6.08,2.04,0.558,0.715,2.32,0.961,15.8,23.9,16.3,24.4,5.5,–
WT4X17_5,17.5,5.14,4.06,8.02,0.31,0.495,0.889,0.688,0.321,4.82,2.71,1.43,0.968,21.3,8.05,5.31,2.03,0.384,0.48,2.3,0.963,15.6,23.6,16.1,24.2,5.5,–
WT4X15_5,15.5,4.56,4.0,8.0,0.285,0.435,0.829,0.668,0.285,4.28,2.39,1.28,0.969,18.5,7.03,4.64,2.02,0.267,0.327,2.28,0.961,15.5,23.5,16.0,24.0,5.5,–
WT4X14,14.0,4.12,4.03,6.54,0.285,0.465,0.859,0.734,0.315,4.23,2.38,1.28,1.01,10.8,5.04,3.31,1.62,0.268,0.23,1.98,0.935,14.2,20.8,14.6,21.1,4.0,–
WT4X12,12.0,3.54,3.97,6.5,0.245,0.4,0.794,0.695,0.272,3.53,1.98,1.08,0.999,9.14,4.28,2.81,1.61,0.173,0.144,1.96,0.936,14.1,20.6,14.4,20.9,4.0,–
WT4X10_5,10.5,3.08,4.14,5.27,0.25,0.4,0.7,0.831,0.292,3.9,2.11,1.18,1.12,4.88,2.84,1.85,1.26,0.141,0.0916,1.8,0.877,13.2,18.5,13.6,18.8,2.75,–
WT4X9,9.0,2.63,4.07,5.25,0.23,0.33,0.63,0.834,0.251,3.41,1.86,1.05,1.14,3.98,2.33,1.52,1.23,0.0855,0.0562,1.8,0.863,13.1,18.3,13.4,18.6,2.75,–
